competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
League Cup,1040387,L. Smith,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,582.0,Hillsborough,Sheffield,Match Finished,PEN,120,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,True,4686,Stockport County,https://media.api-sports.io/football/teams/4686.png,False,1,1,0,1,1,1,0.0,0.0,4.0,1.0
League Cup,1040386,G. Eltringham,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,588.0,bet365 Stadium,"Stoke-on-Trent, Staffordshire",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,75,Stoke City,https://media.api-sports.io/football/teams/75.png,True,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,2,1,1,0,2,1,,,,
League Cup,1040400,S. Oldham,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,589.0,Stadium of Light,Sunderland,Match Finished,PEN,120,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,746,Sunderland,https://media.api-sports.io/football/teams/746.png,False,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,True,1,1,0,1,1,1,0.0,0.0,3.0,5.0
League Cup,1040396,T. Kirk,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,497.0,Oakwell,"Barnsley, South Yorkshire",Match Finished,PEN,120,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,747,Barnsley,https://media.api-sports.io/football/teams/747.png,False,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,True,2,2,1,1,2,2,0.0,0.0,6.0,7.0
League Cup,1040379,C. Brook,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,537.0,Priestfield Stadium,"Gillingham, Kent",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,True,41,Southampton,https://media.api-sports.io/football/teams/41.png,False,3,1,1,0,3,1,,,,
League Cup,1040375,J. Bell,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,560.0,Stadium MK,"Milton Keynes, Buckinghamshire",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1348,Milton Keynes Dons,https://media.api-sports.io/football/teams/1348.png,False,1358,Wycombe,https://media.api-sports.io/football/teams/1358.png,True,0,2,0,0,0,2,,,,
League Cup,1040395,E. Duckworth,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,572.0,Vale Park,"Stoke-on-Trent, Staffordshire",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,True,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,False,3,2,1,1,3,2,,,,
League Cup,1040366,S. Gill,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,571.0,Home Park,Plymouth,Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1357,Plymouth,https://media.api-sports.io/football/teams/1357.png,True,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,False,2,0,2,0,2,0,,,,
League Cup,1040393,M. Coy,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,490.0,Wham Stadium,"Accrington, Lancashire",Match Finished,PEN,120,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1360,Accrington ST,https://media.api-sports.io/football/teams/1360.png,False,1343,Bradford,https://media.api-sports.io/football/teams/1343.png,True,1,1,0,1,1,1,0.0,0.0,1.0,4.0
League Cup,1040369,C. Pollard,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,532.0,St James Park,"Exeter, Devon",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1364,Exeter City,https://media.api-sports.io/football/teams/1364.png,True,1362,Crawley Town,https://media.api-sports.io/football/teams/1362.png,False,2,1,0,1,2,1,,,,
